CardName,1999-07,2000-02,2000-05,2000-07,2000-08,2000-11,2001-01,2001-05,2002-01,2002-05,2003-01,2003-04,2003-07,2003-10,2004-03,2004-09,2005-03,2005-09,2006-03,2006-09,2007-03,2007-09,2008-03,2008-09,2009-03,2009-09,2010-03,2010-09
A Hero Lives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-Dragon Buster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abyss Soldier,,,,,,,,,,,,,,,,,2,2,3,3,3,3,3,3,3,3,3,3
Abyss-sphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Ritual Art,,,,,,,,,,,,,,,,,,,,,3,3,1,1,1,1,1,1
Agido the Ancient Sentinel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleister the Invoker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allure of Darkness,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1
Altergeist Meluseek,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altergeist Multifaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazoness Archer,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ancient Fairy Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
Apprentice Magician,,,,,,,,,,,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3
Archlord Kristya,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
Armageddon Knight,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
Artifact Moralltach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ash Blossom & Joyous Spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrograph Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantean Dragoons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Babycerasaurus,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3
Backup Soldier,,,,,,,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Barrier Statue of the Stormwinds,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3
"Beatrice, Lady of the Eternal",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Welcome Labrynth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Luster Soldier - Envoy of the Beginning,,,,,,,,,,,,,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Black Rose Dragon,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,3
Black Whirlwind,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,1
Blackwing - Gale the Whirlwind,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1
Blackwing - Gofu the Vague Shadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackwing - Kalut the Moon Shadow,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3
Blackwing - Steam the Cloak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blaster, Dragon Ruler of Infernos",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blaze Fenix, the Burning Bombardment Bird",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book of Moon,,,,,,,,,,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,3,3,3,3
Bottomless Trap Hole,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Brain Control,,,,,,,,,,,,,,,,,3,3,3,3,3,1,1,1,1,1,1,0
Branded Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branded Opening,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaker the Magical Warrior,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,3,3,3
Brilliant Fusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brionac, Dragon of the Ice Barrier",,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1
Brotherhood of the Fire Fist - Rooster,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burial from a Different Dimension,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,1,1
"Burner, Dragon Ruler of Sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfly Dagger - Elma,,,,,,,,,,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bystial Baldrake,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bystial Druiswurm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bystial Magnamhut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call of the Haunted,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
Called by the Grave,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannon Soldier,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Cannon Soldier MK-2,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
Card Destruction,,,,,,,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Card of Demise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Card of Safe Return,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,0,0,0
Card Trooper,,,,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1
Catapult Turtle,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Ceasefire,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chain Strike,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,2
Change of Heart,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chaos Emperor Dragon - Envoy of the End,,,,,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chaos Ruler, the Chaotic Magical Dragon",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Sorcerer,,,,,,,,,,,,,3,3,3,3,3,3,3,0,0,0,0,0,1,2,1,2
Charge of the Light Brigade,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Chronograph Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chronomaly Nebra Disk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold Wave,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1
Confiscation,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
Creature Swap,,,,,,,,,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3
Crossout Designator,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crush Card Virus,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0
Crystron Halqifibrax,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Eldland,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Dragon,,,,,,,,,,,,,,,,,,3,3,3,3,3,2,1,1,1,2,3
Cyber Jar,,,,3,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Cyber-Stein,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0
D.D. Assailant,,,,,,,,,,,,,,,3,3,3,3,1,1,2,3,3,3,3,3,3,3
D.D. Warrior Lady,,,,,,,,,,,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3
D/D Lamia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D/D Swirl Slime,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dandylion,,,,,,,,,,,,,,,,,,3,1,1,1,1,1,1,1,1,2,2
Danger! Nessie!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danger!? Jackalope?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
