Date,Release Count
1999-07,157
2000-02,254
2000-05,290
2000-07,355
2000-08,375
2000-11,485
2001-01,550
2001-05,630
2002-01,1050
2002-05,1150
2003-01,1400
2003-04,1500
2003-07,1600
2003-10,1700
2004-03,1900
2004-09,2100
2005-03,2350
2005-09,2550
2006-03,2750
2006-09,2950
2007-03,3200
2007-09,3400
2008-03,3650
2008-09,3850
2009-03,4100
2009-09,4300
2010-03,4600
2010-09,4850
2011-03,5100
2011-09,5350
2012-03,5600
2012-09,5850
2013-03,6150
2013-09,6400
2013-11,6500
2014-02,6650
2014-04,6750
2014-07,6950
2014-10,7150
2015-01,7300
2015-04,7450
2015-07,7650
2015-10,7850
2016-01,8050
2016-04,8250
2016-07,8450
2016-10,8700
2017-01,8900
2017-04,9100
2017-07,9300
2017-10,9550
2018-01,9750
2018-04,10000
2018-07,10250
2018-10,10500
2019-01,10750
2019-04,11000
2019-07,11250
2019-10,11500
2020-01,11800
2020-04,12050
2020-07,12300
2020-10,12600
2021-01,12900
2021-02,12950
2021-04,13200
2021-07,13500
2021-10,13800
2022-01,14100
2022-04,14350
2022-07,14600
2022-10,14900
2023-01,15200
2023-04,15450
2023-07,15700
2023-10,16000
2024-01,16300
2024-04,16550
2024-07,16800
2024-10,17100
2025-01,17400
2025-04,17650
2025-07,17950
2025-10,18250
2026-01,18500
